"","id","tvalue","pvalue","correlation","band","task","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"133","loc_F7_closed_ForgettingRate_UpperBeta",1.82024638913978,0.0749595556397542,0.254106174794534,"UpperBeta","Location",1,0.583519316190596,1,0.997120948748304,0.997120948748304,1
"134","loc_F8_closed_ForgettingRate_UpperBeta",2.3334811097214,0.023858953581531,0.319190681475946,"UpperBeta","Location",1,0.463062563476358,1,0.997120948748304,0.986577892534807,1
"135","loc_T7_closed_ForgettingRate_UpperBeta",-0.156967347051213,0.875928979158075,-0.0226504724384451,"UpperBeta","Location",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"136","loc_T8_closed_ForgettingRate_UpperBeta",1.80701418865651,0.0770300831157861,0.25237702108837,"UpperBeta","Location",1,0.583519316190596,1,0.997120948748304,0.997120948748304,1
"137","loc_P7_closed_ForgettingRate_UpperBeta",0.340787049620489,0.734751041462064,0.049128975932117,"UpperBeta","Location",1,0.939577398216713,1,0.997120948748304,0.997120948748304,1
"138","loc_P8_closed_ForgettingRate_UpperBeta",2.71199602210769,0.00925451227764225,0.364511240221552,"UpperBeta","Location",1,0.412983057485991,1,0.997120948748304,0.972260208833622,1
"139","loc_O1_closed_ForgettingRate_UpperBeta",0.694172534078509,0.490920230204298,0.0996959968478112,"UpperBeta","Location",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"140","loc_O2_closed_ForgettingRate_UpperBeta",1.35981970729525,0.180240355567205,0.19259837922322,"UpperBeta","Location",1,0.651190962049256,1,0.997120948748304,0.997120948748304,1
"141","voc_AF3_closed_ForgettingRate_Theta",0.161087727932992,0.872700404750804,0.023244728459732,"Theta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"142","voc_AF4_closed_ForgettingRate_Theta",0.252557022277676,0.801688959677466,0.0364292696230564,"Theta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"143","voc_F3_closed_ForgettingRate_Theta",-0.0473112783838492,0.962461441437511,-0.00682863561154518,"Theta","Vocabulary",1,0.967406722724714,1,0.997120948748304,0.997120948748304,1
"144","voc_F4_closed_ForgettingRate_Theta",0.252663225628552,0.801607361466497,0.0364445682389307,"Theta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"145","voc_FC5_closed_ForgettingRate_Theta",-0.629044886382682,0.532302120208442,-0.090422864237606,"Theta","Vocabulary",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
